,subid,uuid,gender,test_trial,age_in_years,exp_start,option1,option2,trial_audio,selected_image,lang,parent_mask,peer_mask,own_mask
1,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,11-null,2.183561644,3/29/21 14:35,scared4,happy1,Scared_2_pause_2,option1,en es,Sometimes,Sometimes,Never
2,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,12-null,2.183561644,3/29/21 14:35,happy6,angry2,Happy_2_pause_2,option1,en es,Sometimes,Sometimes,Never
3,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,13-null,2.183561644,3/29/21 14:35,angry3,sad1,Sad_1_pause_2,option2,en es,Sometimes,Sometimes,Never
4,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,14-null,2.183561644,3/29/21 14:35,angry5,scared6,Angry_2_pause_2,option1,en es,Sometimes,Sometimes,Never
5,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,16-null,2.183561644,3/29/21 14:35,angry3,sad5,Angry_2_pause_2,option2,en es,Sometimes,Sometimes,Never
6,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,17-null,2.183561644,3/29/21 14:35,scared5,happy1,Happy_1_pause_2,option2,en es,Sometimes,Sometimes,Never
7,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,18-null,2.183561644,3/29/21 14:35,scared1,angry1,Scared_1_pause_2,option2,en es,Sometimes,Sometimes,Never
8,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,19-null,2.183561644,3/29/21 14:35,scared2,sad2,Sad_1_pause_2,option2,en es,Sometimes,Sometimes,Never
9,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,20-null,2.183561644,3/29/21 14:35,scared3,sad3,Sad_2_pause_2,option1,en es,Sometimes,Sometimes,Never
10,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,21-null,2.183561644,3/29/21 14:35,happy2,angry4,Angry_2_pause_2,option2,en es,Sometimes,Sometimes,Never
11,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,22-null,2.183561644,3/29/21 14:35,happy4,sad4,Sad_2_pause_2,option2,en es,Sometimes,Sometimes,Never
12,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,23-null,2.183561644,3/29/21 14:35,sad1,angry6,Angry_1_pause_2,option2,en es,Sometimes,Sometimes,Never
13,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,24-null,2.183561644,3/29/21 14:35,sad6,scared6,Scared_2_pause_2,option2,en es,Sometimes,Sometimes,Never
14,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,25-null,2.183561644,3/29/21 14:35,angry4,happy3,Happy_1_pause_2,option2,en es,Sometimes,Sometimes,Never
15,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,26-null,2.183561644,3/29/21 14:35,sad4,happy2,Happy_2_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
16,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,27-null,2.183561644,3/29/21 14:35,angry2,happy5,Angry_1_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
17,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,28-null,2.183561644,3/29/21 14:35,angry1,scared4,Angry_1_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
18,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,29-null,2.183561644,3/29/21 14:35,sad5,angry6,Sad_2_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
19,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,30-null,2.183561644,3/29/21 14:35,happy5,scared1,Happy_1_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
20,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,31-null,2.183561644,3/29/21 14:35,happy3,scared5,Scared_1_pause_2,option1,en es,Sometimes,Sometimes,Never
21,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,32-null,2.183561644,3/29/21 14:35,angry5,scared2,Scared_2_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
22,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,33-null,2.183561644,3/29/21 14:35,happy4,sad2,Happy_2_pause_2,option2,en es,Sometimes,Sometimes,Never
23,66502,e28fde94-5d19-4cbf-a096-bfa420a52594,m,34-null,2.183561644,3/29/21 14:35,happy6,sad6,Sad_1_pause_2,I_dont_know,en es,Sometimes,Sometimes,Never
24,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,11-null,4.065753425,3/30/21 12:22,happy4,scared2,Happy_2_pause_2,option1,en,Often,Often,Often
25,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,12-null,4.065753425,3/30/21 12:22,happy6,angry1,Angry_2_pause_2,option2,en,Often,Often,Often
26,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,13-null,4.065753425,3/30/21 12:22,angry5,happy6,Happy_1_pause_2,option2,en,Often,Often,Often
27,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,14-null,4.065753425,3/30/21 12:22,angry6,scared3,Angry_2_pause_2,option1,en,Often,Often,Often
28,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,16-null,4.065753425,3/30/21 12:22,happy2,angry4,Happy_2_pause_2,option1,en,Often,Often,Often
29,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,17-null,4.065753425,3/30/21 12:22,sad3,scared5,Sad_1_pause_2,option1,en,Often,Often,Often
30,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,18-null,4.065753425,3/30/21 12:22,scared6,sad4,Scared_1_pause_2,option1,en,Often,Often,Often
31,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,19-null,4.065753425,3/30/21 12:22,scared1,happy2,Scared_2_pause_2,option1,en,Often,Often,Often
32,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,20-null,4.065753425,3/30/21 12:22,angry2,scared2,Scared_1_pause_2,option2,en,Often,Often,Often
33,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,21-null,4.065753425,3/30/21 12:22,scared3,angry3,Scared_2_pause_2,option2,en,Often,Often,Often
34,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,22-null,4.065753425,3/30/21 12:22,angry5,scared4,Angry_2_pause_2,option1,en,Often,Often,Often
35,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,23-null,4.065753425,3/30/21 12:22,sad1,angry2,Angry_1_pause_2,option2,en,Often,Often,Often
36,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,24-null,4.065753425,3/30/21 12:22,happy3,scared5,Scared_2_pause_2,option2,en,Often,Often,Often
37,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,25-null,4.065753425,3/30/21 12:22,angry3,happy5,Angry_1_pause_2,option1,en,Often,Often,Often
38,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,26-null,4.065753425,3/30/21 12:22,angry6,sad4,Sad_2_pause_2,option2,en,Often,Often,Often
39,66554,2e7b00db-b8cb-4a2e-aad7-004bc0ef7c06,m,27-null,4.065753425,3/30/21 12:22,scared1,sad1,Sad_2_pause_2,option2,en,Often,Often,Often
