,subid,uuid,gender,test_trial,age_in_years,option1,option2,trial_audio,selected_image,lang,parent_mask,peer_mask,own_mask
1,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,11-null,3.457534247,sad2_2,scared4,Scared_1_pause_2,option2,en ja,Often,Sometimes,Often
2,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,12-null,3.457534247,sad5,happy2,Sad_2_pause_2,option1,en ja,Often,Sometimes,Often
3,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,13-null,3.457534247,happy2,angry5_2,Happy_2_pause_2,option1,en ja,Often,Sometimes,Often
4,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,14-null,3.457534247,happy5,scared6,Happy_2_pause_2,option1,en ja,Often,Sometimes,Often
5,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,16-null,3.457534247,angry2,sad4,Sad_2_pause_2,option2,en ja,Often,Sometimes,Often
6,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,17-null,3.457534247,scared1,sad6,Scared_2_pause_2,option1,en ja,Often,Sometimes,Often
7,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,18-null,3.457534247,happy3_2,angry4,Happy_1_pause_2,option1,en ja,Often,Sometimes,Often
8,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,19-null,3.457534247,scared5,happy5,Scared_1_pause_2,option1,en ja,Often,Sometimes,Often
9,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,20-null,3.457534247,happy3_2,angry6,Angry_1_pause_2,option2,en ja,Often,Sometimes,Often
10,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,21-null,3.457534247,scared5,angry3,Angry_2_pause_2,option2,en ja,Often,Sometimes,Often
11,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,22-null,3.457534247,scared6,angry6,Scared_1_pause_2,option1,en ja,Often,Sometimes,Often
12,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,23-null,3.457534247,happy4,scared2,Happy_1_pause_2,option1,en ja,Often,Sometimes,Often
13,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,24-null,3.457534247,happy4,angry4,Angry_1_pause_2,option2,en ja,Often,Sometimes,Often
14,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,25-null,3.457534247,sad2_2,scared3,Sad_1_pause_2,option1,en ja,Often,Sometimes,Often
15,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,26-null,3.457534247,scared2,angry1_2,Scared_2_pause_2,option1,en ja,Often,Sometimes,Often
16,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,27-null,3.457534247,happy6,sad1_2,Sad_1_pause_2,option2,en ja,Often,Sometimes,Often
17,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,28-null,3.457534247,happy1,sad1_2,Happy_1_pause_2,option1,en ja,Often,Sometimes,Often
18,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,29-null,3.457534247,angry3,sad6,Sad_1_pause_2,option2,en ja,Often,Sometimes,Often
19,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,30-null,3.457534247,sad3,scared4,Sad_2_pause_2,option1,en ja,Often,Sometimes,Often
20,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,31-null,3.457534247,angry5_2,sad4,Angry_1_pause_2,option1,en ja,Often,Sometimes,Often
21,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,32-null,3.457534247,happy6,sad5,Happy_2_pause_2,option1,en ja,Often,Sometimes,Often
22,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,33-null,3.457534247,scared1,angry1_2,Angry_2_pause_2,option2,en ja,Often,Sometimes,Often
23,58475,d95b0a0d-1c2a-4553-96d3-45f766b812cc,m,34-null,3.457534247,happy1,scared3,Scared_2_pause_2,option2,en ja,Often,Sometimes,Often
